Title,System,Family,Type,Year,Played
Unearthed Arcana,AD&D 1e,Dungeons & Dragons,Supplement,1985,FALSE
Warhammer Fantasy Roleplay 1e,Warhammer Fantasy Roleplay,Warhammer Fantasy Roleplay,Core Rules,1986,TRUE
Cyberpunk 2020,Interlock,Cyberpunk,Core Rules,1990,TRUE
Dungeons & Dragons Rules Cyclopedia,D&D (Classic),Dungeons & Dragons,Core Rules,1991,TRUE
Everway,Everway,Everway,Core Rules,1995,TRUE
"Lawyers, Guns and Money",Unknown Armies,Unknown Armies,Supplement,1999,TRUE
The Sunless Citadel,D&D 3.0e,Dungeons & Dragons,Adventure Supplement,2000,TRUE
Exalted 1e,Storyteller,Exalted,Core Rules,2001,TRUE
Call of Cthulhu D20,d20,Call of Cthulhu,Core Rules,2002,TRUE
Dungeon Magazine 94,D&D 3.0e,Dungeon Magazine,Magazine,2002,TRUE
Godlike,One-Roll Engine,Godlike,Core Rules,2002,FALSE
Nocturnum,d20,Call of Cthulhu,Campaign,2002,TRUE
Unknown Armies 2e,Unknown Armies,Unknown Armies,Core Rules,2002,TRUE
Player's Handbook 3.5e,D&D 3.5e,Dungeons & Dragons,Core Rules,2003,TRUE
World of Darkness,Storytelling System,World of Darkness,Core Rules,2004,TRUE
Kobolds Ate My Baby,Kobolds Ate My Baby,Kobolds Ate My Baby,Core Rules,2005,TRUE
Polaris: Chivalric Tragedy At Utmost North,Polaris,Polaris,Core Rules,2005,FALSE
Warhammer Fantasy Roleplay 2e,Warhammer Fantasy Roleplay,Warhammer Fantasy Roleplay,Core Rules,2005,TRUE
Battletech Total Warfare,BattleTech,BattleTech,Core Rules,2006,FALSE
Don't Rest Your Head,Don't Rest Your Head,,Core Rules,2006,TRUE
Exalted 2e,Storyteller,Exalted,Core Rules,2006,TRUE
Mouse Guard,Burning Wheel,Mouse Guard,Core Rules,2008,TRUE
Player's Handbook 4e,D&D 4e,Dungeons & Dragons,Core Rules,2008,TRUE
Pathfinder Roleplaying Game Core Rulebook,Pathfinder 1e,Pathfinder,Core Rules,2009,TRUE
Numenera,Cypher System,Numenera,Core Rules,2013,FALSE
Player's Handbook 5e,D&D 5e,Dungeons & Dragons,Core Rules,2014,TRUE
Heroquest Glorantha,HeroQuest,Glorantha,Core Rules,2015,TRUE
Delta Green Agent's Handbook,Delta Green,Delta Green,Core Rules,2016,TRUE
Wonder & Wickedness,OSR (B/X),Wonder & Wickedness,Supplement,2016,TRUE
Blades in the Dark,Forged in the Dark,Blades in the Dark,Core Rules,2017,TRUE
Unknown Armies 3e,Unknown Armies 3e,Unknown Armies,Core Rules,2017,TRUE
Dark Fort,MÖRK BORG,MÖRK BORG,Core Rules,2018,FALSE
Forbidden Lands,Year Zero Engine,Forbidden Lands,Core Rules,2018,FALSE
RuneQuest: Roleplaying in Glorantha,RuneQuest,Glorantha,Core Rules,2018,TRUE
Spire: The City Must Fall,Resistance,Spire,Core Rules,2018,FALSE
Band of Blades,Forged in the Dark,,Core Rules,2019,TRUE
Lancer,Lancer,Lancer,Core Rules,2019,FALSE
Thousand Year Old Vampire,Thousand Year Old Vampire,,Core Rules,2019,FALSE
2400,24XX,2400,Core Rules,2020,TRUE
Cairn,Cairn,Cairn,Core Rules,2020,TRUE
Electric Bastionland,Into the Odd,Bastionland,Core Rules,2020,TRUE
